"City","Sport","Discipline","Athlete","NOC","Gender","Event","Event_gender","Medal","Year","Country"
"Moscow","Fencing","Fencing","HARMENBERG, Johan","SWE","Men","̩p̩e individual","M","Gold",1980,"Sweden"
"Moscow","Fencing","Fencing","KOLSZONAY, Ern̦","HUN","Men","̩p̩e individual","M","Silver",1980,"Hungary"
"Moscow","Fencing","Fencing","ABUSHAKHMETOV, Aleksandr","URS","Men","̩p̩e team","M","Bronze",1980,NA
"Moscow","Fencing","Fencing","KARAGIAN, Ashot","URS","Men","̩p̩e team","M","Bronze",1980,NA
"Moscow","Fencing","Fencing","LUKOMSKY, Boris","URS","Men","̩p̩e team","M","Bronze",1980,NA
"Moscow","Fencing","Fencing","MOZHAEV, Aleksandr","URS","Men","̩p̩e team","M","Bronze",1980,NA
"Moscow","Fencing","Fencing","BOISSE, Philippe","FRA","Men","̩p̩e team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","GARDAS, Hubert","FRA","Men","̩p̩e team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","PICOT, Patrick","FRA","Men","̩p̩e team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","RIBOUD, Philippe","FRA","Men","̩p̩e team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","SALESSE, Michel","FRA","Men","̩p̩e team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","CHRONOWSKI, Ludomir","POL","Men","̩p̩e team","M","Silver",1980,"Poland"
"Moscow","Fencing","Fencing","JABLKOWSKI, Piotr","POL","Men","̩p̩e team","M","Silver",1980,"Poland"
"Moscow","Fencing","Fencing","LIS, Andrzej","POL","Men","̩p̩e team","M","Silver",1980,"Poland"
"Moscow","Fencing","Fencing","STRZALKA, Mariusz","POL","Men","̩p̩e team","M","Silver",1980,"Poland"
"Moscow","Fencing","Fencing","SWORNOWSKI, Leszek","POL","Men","̩p̩e team","M","Silver",1980,"Poland"
"Moscow","Fencing","Fencing","ROMANKOV, Aleksander","URS","Men","foil individual","M","Bronze",1980,NA
"Moscow","Fencing","Fencing","SMIRNOV, Vladimir","URS","Men","foil individual","M","Gold",1980,NA
"Moscow","Fencing","Fencing","JOLYOT, Pascal","FRA","Men","foil individual","M","Silver",1980,"France"
"Moscow","Fencing","Fencing","WYSOCZANSKA, Barbara","POL","Women","foil individual","W","Bronze",1980,"Poland"
"Moscow","Fencing","Fencing","TRINQUET-HACHIN, Pascale","FRA","Women","foil individual","W","Gold",1980,"France"
"Moscow","Fencing","Fencing","MAROS, Magda","HUN","Women","foil individual","W","Silver",1980,"Hungary"
"Moscow","Fencing","Fencing","KOZIEJOWSKI, Lech","POL","Men","foil team","M","Bronze",1980,"Poland"
"Moscow","Fencing","Fencing","ROBAK, Adam","POL","Men","foil team","M","Bronze",1980,"Poland"
"Moscow","Fencing","Fencing","SYPNIEWSKI, Marian","POL","Men","foil team","M","Bronze",1980,"Poland"
"Moscow","Fencing","Fencing","ZYCH, Boguslaw","POL","Men","foil team","M","Bronze",1980,"Poland"
"Moscow","Fencing","Fencing","BONIN, Philippe","FRA","Men","foil team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","BOSCHERIE, Bruno","FRA","Men","foil team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","FLAMENT, Didier","FRA","Men","foil team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","JOLYOT, Pascal","FRA","Men","foil team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","PIETRUSZKA, Frederic","FRA","Men","foil team","M","Gold",1980,"France"
"Moscow","Fencing","Fencing","KARAGIAN, Ashot","URS","Men","foil team","M","Silver",1980,NA
"Moscow","Fencing","Fencing","LAPITSKI, Vladimir","URS","Men","foil team","M","Silver",1980,NA
"Moscow","Fencing","Fencing","ROMANKOV, Aleksander","URS","Men","foil team","M","Silver",1980,NA
"Moscow","Fencing","Fencing","RUZIEV, Sabirzhan","URS","Men","foil team","M","Silver",1980,NA
"Moscow","Fencing","Fencing","SMIRNOV, Vladimir","URS","Men","foil team","M","Silver",1980,NA
"Moscow","Fencing","Fencing","KOVACS, Edit","HUN","Women","foil team","W","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","MAROS, Magda","HUN","Women","foil team","W","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","SCHWARCZENBERGER, Ildiko","HUN","Women","foil team","W","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","STEFANEK, Gertrud","HUN","Women","foil team","W","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","SZOCS, Zsuzsa","HUN","Women","foil team","W","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","BEGARD, Isabelle","FRA","Women","foil team","W","Gold",1980,"France"
"Moscow","Fencing","Fencing","BROUQUIER, Veronique","FRA","Women","foil team","W","Gold",1980,"France"
"Moscow","Fencing","Fencing","LATRILLE-GAUDIN, Brigitte","FRA","Women","foil team","W","Gold",1980,"France"
"Moscow","Fencing","Fencing","MUZIO, Christine","FRA","Women","foil team","W","Gold",1980,"France"
"Moscow","Fencing","Fencing","TRINQUET-HACHIN, Pascale","FRA","Women","foil team","W","Gold",1980,"France"
"Moscow","Fencing","Fencing","GILIAZOVA, Nailia","URS","Women","foil team","W","Silver",1980,NA
"Moscow","Fencing","Fencing","NOVIKOVA-BELOVA, Elena","URS","Women","foil team","W","Silver",1980,NA
"Moscow","Fencing","Fencing","SIDOROVA, Valentina","URS","Women","foil team","W","Silver",1980,NA
"Moscow","Fencing","Fencing","TSAGARAEVA, Larisa","URS","Women","foil team","W","Silver",1980,NA
"Moscow","Fencing","Fencing","USHAKOVA, Irina","URS","Women","foil team","W","Silver",1980,NA
"Moscow","Fencing","Fencing","GEDOVARI, Imre","HUN","Men","sabre individual","M","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","KROVOPUSKOV, Viktor","URS","Men","sabre individual","M","Gold",1980,NA
"Moscow","Fencing","Fencing","BURTSEV, Mikhail","URS","Men","sabre individual","M","Silver",1980,NA
"Moscow","Fencing","Fencing","GEDOVARI, Imre","HUN","Men","sabre team","M","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","GEREVICH, Pal","HUN","Men","sabre team","M","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","HAMMANG, Ferenc","HUN","Men","sabre team","M","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","NEBALD, Gy̦rgy","HUN","Men","sabre team","M","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","NEBALD, Rudolf","HUN","Men","sabre team","M","Bronze",1980,"Hungary"
"Moscow","Fencing","Fencing","ALEKHIN, Nikolai","URS","Men","sabre team","M","Gold",1980,NA
"Moscow","Fencing","Fencing","BURTSEV, Mikhail","URS","Men","sabre team","M","Gold",1980,NA
"Moscow","Fencing","Fencing","KROVOPUSKOV, Viktor","URS","Men","sabre team","M","Gold",1980,NA
"Moscow","Fencing","Fencing","NAZLYMOV, Vladimir","URS","Men","sabre team","M","Gold",1980,NA
"Moscow","Fencing","Fencing","SIDYAK, Viktor","URS","Men","sabre team","M","Gold",1980,NA
"Moscow","Fencing","Fencing","MAFFEI, Michele","ITA","Men","sabre team","M","Silver",1980,"Italy"
"Moscow","Fencing","Fencing","MEGLIO, Ferdinando","ITA","Men","sabre team","M","Silver",1980,"Italy"
"Moscow","Fencing","Fencing","MONTANO, Mario Aldo","ITA","Men","sabre team","M","Silver",1980,"Italy"
"Moscow","Fencing","Fencing","ROMANO, Marco","ITA","Men","sabre team","M","Silver",1980,"Italy"
"Moscow","Fencing","Fencing","SCALZO, Giovanni","ITA","Men","sabre team","M","Silver",1980,"Italy"
